MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.75,625.09,345.58,853.42,852.31,15.65,761,1737381566522307235
477.74,625.09,345.58,853.42,852.31,15.64,762,1737381567032829986
477.74,625.09,345.59,853.42,852.31,15.64,763,1737381567543342872
477.75,625.1,345.59,853.42,852.31,15.64,764,1737381568053854059
477.75,625.1,345.58,853.42,852.31,15.65,765,1737381568564412582
477.75,625.1,345.58,853.42,852.31,15.65,766,1737381569074919052
477.75,625.1,345.58,853.42,852.31,15.65,767,1737381569585471631
477.75,625.1,345.59,853.42,852.31,15.65,768,1737381570095977487
MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
