MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.81,625.44,345.61,853.32,852.56,15.58,2019,1737401915757378980
477.81,625.44,345.62,853.32,852.56,15.58,2020,1737401915798229432
477.81,625.44,345.61,853.32,852.56,15.58,2021,1737401915839086864
477.81,625.45,345.62,853.32,852.57,15.59,2022,1737401915891077930
477.81,625.44,345.61,853.32,852.56,15.58,2023,1737401915932163528
477.81,625.44,345.61,853.32,852.56,15.58,2024,1737401915988247211
477.81,625.44,345.62,853.32,852.56,15.58,2025,1737401916042101660
477.81,625.44,345.62,853.32,852.55,15.59,2026,1737401916090043386
477.81,625.44,345.61,853.32,852.56,15.59,2027,1737401916140167568
477.8,625.44,345.62,853.32,852.56,15.58,2028,1737401916194417423
477.81,625.44,345.62,853.32,852.56,15.59,2029,1737401916225090609
477.81,625.44,345.62,853.32,852.55,15.58,2030,1737401916262248609
477.81,625.44,345.61,853.32,852.55,15.58,2031,1737401916304794447
477.81,625.44,345.62,853.32,852.56,15.58,2032,1737401916364961974
477.81,625.44,345.61,853.32,852.56,15.59,2033,1737401916399318577
477.81,625.44,345.62,853.32,852.55,15.58,2034,1737401916454420916
477.81,625.44,345.61,853.32,852.54,15.59,2035,1737401916530253193
477.81,625.44,345.62,853.32,852.55,15.59,2036,1737401916581329691
477.81,625.44,345.62,853.32,852.55,15.59,2037,1737401916650551247
477.81,625.44,345.62,853.32,852.55,15.58,2038,1737401916765154300
477.81,625.43,345.61,853.32,852.55,15.59,2039,1737401916813654361
477.81,625.44,345.62,853.32,852.55,15.59,2040,1737401916855785553
477.81,625.44,345.61,853.32,852.55,15.59,2041,1737401916898694834
477.81,625.44,345.63,853.32,852.56,15.59,2042,1737401916976447717
477.81,625.43,345.61,853.32,852.55,15.58,2043,1737401917023719930
477.81,625.44,345.61,853.32,852.55,15.58,2044,1737401917088068649
477.81,625.44,345.62,853.32,852.55,15.59,2045,1737401917148516342
477.81,625.44,345.61,853.32,852.55,15.58,2046,1737401917205294101
477.81,625.44,345.61,853.32,852.56,15.58,2047,1737401917237090026
477.81,625.43,345.61,853.32,852.55,15.59,2048,1737401917272129273
477.81,625.44,345.61,853.32,852.56,15.59,2049,1737401917318026171
477.81,625.44,345.61,853.32,852.56,15.59,2050,1737401917376476419
477.81,625.44,345.61,853.31,852.55,15.58,2051,1737401917407137086
477.81,625.43,345.61,853.32,852.55,15.58,2052,1737401917443453957
477.81,625.43,345.61,853.32,852.55,15.58,2053,1737401917537628282
477.81,625.44,345.61,853.32,852.56,15.58,2054,1737401917585276878
477.81,625.43,345.61,853.32,852.55,15.58,2055,1737401917632703438
477.81,625.44,345.62,853.32,852.55,15.58,2056,1737401917677954653
477.81,625.43,345.61,853.32,852.55,15.58,2057,1737401917722010315
