MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
MRpx,MRpy,MRth,CRpx,CRpy,CRth,count,Time
477.81,625.43,345.61,853.32,852.55,15.58,2053,1737401917538145484
477.81,625.44,345.61,853.32,852.56,15.58,2054,1737401917585643822
477.81,625.43,345.61,853.32,852.55,15.58,2055,1737401917632985808
477.81,625.44,345.62,853.32,852.55,15.58,2056,1737401917678246189
477.81,625.43,345.61,853.32,852.55,15.58,2057,1737401917722265500
477.81,625.44,345.62,853.32,852.55,15.58,2058,1737401917773989732
477.81,625.44,345.61,853.32,852.55,15.58,2059,1737401917830675504
477.81,625.44,345.61,853.32,852.55,15.58,2060,1737401917902224917
477.81,625.43,345.63,853.32,852.55,15.58,2061,1737401917939376063
477.81,625.43,345.61,853.32,852.55,15.59,2062,1737401918018447175
477.81,625.43,345.62,853.32,852.55,15.59,2063,1737401918068401523
477.81,625.44,345.62,853.32,852.55,15.59,2064,1737401918120441440
477.81,625.44,345.62,853.32,852.55,15.59,2065,1737401918153354284
477.81,625.43,345.62,853.32,852.55,15.58,2066,1737401918188584992
477.81,625.43,345.62,853.32,852.55,15.59,2067,1737401918234624815
477.81,625.44,345.62,853.32,852.55,15.59,2068,1737401918293337119
477.81,625.44,345.61,853.32,852.55,15.58,2069,1737401918324375284
477.81,625.43,345.61,853.32,852.55,15.59,2070,1737401918359827065
477.81,625.43,345.62,853.32,852.55,15.59,2071,1737401918403577488
477.81,625.44,345.62,853.32,852.55,15.59,2072,1737401918436536869
477.81,625.44,345.61,853.32,852.55,15.59,2073,1737401918484282650
477.81,625.44,345.62,853.32,852.55,15.59,2074,1737401918534350350
477.81,625.44,345.61,853.32,852.55,15.59,2075,1737401918608680699
477.81,625.43,345.61,853.32,852.55,15.59,2076,1737401918654791929
477.81,625.43,345.61,853.32,852.55,15.59,2077,1737401918697881410
477.81,625.44,345.62,853.32,852.55,15.59,2078,1737401918752692910
477.81,625.43,345.61,853.32,852.55,15.58,2079,1737401918819491004
477.81,625.43,345.6,853.32,852.55,15.58,2080,1737401918855490135
477.81,625.44,345.61,853.32,852.56,15.59,2081,1737401918901116904
477.8,625.44,345.61,853.32,852.56,15.59,2082,1737401918957876621
477.81,625.43,345.61,853.32,852.55,15.58,2083,1737401918991302964
477.81,625.44,345.61,853.32,852.56,15.59,2084,1737401919032000044
477.81,625.44,345.62,853.32,852.55,15.59,2085,1737401919072691143
477.81,625.44,345.61,853.32,852.56,15.58,2086,1737401919133203959
477.81,625.44,345.61,853.32,852.55,15.59,2087,1737401919163408960
477.81,625.44,345.62,853.32,852.55,15.58,2088,1737401919202560045
477.81,625.43,345.62,853.32,852.55,15.58,2089,1737401919242381220
477.81,625.44,345.61,853.32,852.55,15.58,2090,1737401919276935264
477.81,625.44,345.62,853.32,852.55,15.58,2091,1737401919320058911
477.81,625.44,345.61,853.32,852.55,15.58,2092,1737401919372231197
477.81,625.44,345.62,853.32,852.55,15.58,2093,1737401919415821620
477.81,625.44,345.62,853.32,852.56,15.58,2094,1737401919513699231
477.81,625.43,345.62,853.33,852.55,15.59,2095,1737401919563313895
477.81,625.44,345.62,853.32,852.55,15.59,2096,1737401919607109392
477.81,625.43,345.6,853.32,852.55,15.59,2097,1737401919648245341
477.81,625.44,345.62,853.32,852.55,15.59,2098,1737401919702902101
477.81,625.44,345.61,853.32,852.55,15.58,2099,1737401919739320713
477.81,625.44,345.61,853.32,852.56,15.58,2100,1737401919772223983
477.81,625.44,345.62,853.32,852.56,15.58,2101,1737401919817857586
477.81,625.43,345.61,853.33,852.56,15.59,2102,1737401919872734993
477.81,625.44,345.61,853.32,852.55,15.58,2103,1737401919908846661
477.81,625.44,345.61,853.33,852.56,15.58,2104,1737401919948724318
477.81,625.43,345.61,853.33,852.56,15.59,2105,1737401920009218709
477.81,625.43,345.61,853.32,852.56,15.58,2106,1737401920058889836
477.81,625.44,345.61,853.33,852.55,15.59,2107,1737401920097788348
477.81,625.44,345.61,853.33,852.55,15.59,2108,1737401920154712286
477.81,625.43,345.6,853.33,852.55,15.58,2109,1737401920188731720
477.81,625.43,345.61,853.33,852.55,15.58,2110,1737401920222193304
477.81,625.44,345.61,853.33,852.56,15.58,2111,1737401920270569324
477.81,625.43,345.61,853.32,852.55,15.59,2112,1737401920321703502
477.81,625.44,345.62,853.32,852.56,15.59,2113,1737401920402771756
477.81,625.43,345.61,853.32,852.55,15.59,2114,1737401920455387171
477.82,625.43,345.61,853.32,852.56,15.58,2115,1737401920502155566
477.82,625.44,345.61,853.32,852.56,15.58,2116,1737401920556936177
477.82,625.43,345.61,853.32,852.55,15.58,2117,1737401920629182755
477.82,625.43,345.62,853.32,852.56,15.58,2118,1737401920680448303
477.82,625.43,345.61,853.32,852.55,15.58,2119,1737401920716998581
477.82,625.43,345.62,853.32,852.55,15.58,2120,1737401920774432018
477.82,625.43,345.61,853.32,852.56,15.58,2121,1737401920807639639
477.82,625.44,345.61,853.32,852.56,15.58,2122,1737401920842434941
477.82,625.43,345.61,853.32,852.55,15.58,2123,1737401920887866896
477.82,625.44,345.61,853.32,852.56,15.58,2124,1737401920939168889
477.82,625.43,345.62,853.32,852.55,15.58,2125,1737401920978492603
477.81,625.44,345.61,853.32,852.56,15.58,2126,1737401921014970326
477.82,625.44,345.61,853.32,852.55,15.58,2127,1737401921057960048
477.81,625.44,345.62,853.32,852.56,15.58,2128,1737401921108050211
477.81,625.44,345.62,853.32,852.56,15.59,2129,1737401921149538697
477.81,625.44,345.62,853.32,852.55,15.58,2130,1737401921184653369
477.81,625.43,345.62,853.32,852.55,15.58,2131,1737401921227278815
477.81,625.44,345.62,853.32,852.56,15.58,2132,1737401921263579465
477.81,625.44,345.62,853.32,852.55,15.58,2133,1737401921305960263
477.81,625.44,345.61,853.32,852.56,15.58,2134,1737401921355767909
477.81,625.43,345.61,853.32,852.55,15.59,2135,1737401921403596598
477.81,625.44,345.61,853.32,852.56,15.58,2136,1737401921453230578
477.81,625.43,345.62,853.32,852.55,15.59,2137,1737401921488185768
477.81,625.43,345.62,853.32,852.55,15.58,2138,1737401921524689788
477.81,625.43,345.61,853.32,852.55,15.59,2139,1737401921614366240
477.81,625.42,345.6,853.32,852.55,15.58,2140,1737401921668498058
477.81,625.43,345.61,853.32,852.55,15.58,2141,1737401921702941269
